      4194304            2   4634804.73   7437805.65   6275645.58

#----------------------------------------------------------------
# Benchmarking Alltoallv 
# #processes = 256 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000        15.47        15.70        15.57
            1           11      1084.35      1085.91      1085.14
            2           11      1068.74      1070.61      1069.69
            4           11       941.99       944.27       942.97
            8           11       745.64       747.66       746.80
           16           11       692.93       695.19       694.21
           32           11       599.77       601.53       600.51
           64           11       607.97       610.16       608.93
          128           11       713.11       715.02       714.05
          256           11      3093.03      3095.43      3094.05
          512           11      7233.75      7235.44      7234.63
         1024           11     11786.05     11788.04     11787.13
         2048           11     15746.62     15749.24     15747.82
         4096           11     25510.55     25513.39     25511.95
         8192           11     38207.29     38212.19     38209.61
        16384           11     64734.55     64737.67     64736.37
        32768           11    116147.99    116151.98    116149.75
        65536           11    224453.12    224458.56    224455.73
       131072           11    460112.16    460118.68    460115.46
       262144           10    925664.02    925668.50    925666.64
       524288            5   1856102.37   1856107.23   1856104.74
      1048576            3   3723781.82   3723787.86   3723785.10
      2097152            2   7464707.14   7464733.36   7464716.17
      4194304 out-of-mem.; needed X=   2.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)


# All processes entering MPI_Finalize

Application 1085001 resources: utime ~117746s, stime ~30916s, Rss ~1115508, inblocks ~0, outblocks ~0
