          512         1000      1714.27      2707.78      2138.01
         1024         1000      3175.71      5472.20      4182.93
         2048          994      6034.98      9826.00      8016.63
         4096          511     12014.66     19768.98     16181.63
         8192          102     94441.08     98150.00     96072.65
        16384           87    111594.16    115493.10    113350.14
        32768           72    132002.02    136264.87    133918.30
        65536            9    177778.64    183755.87    180457.41
       131072            5    262511.01    278075.03    271139.60
       262144            3    444125.89    470087.69    456942.40
       524288            2    818781.38    860655.67    836769.38
      1048576 out-of-mem.; needed X=   2.002 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)
      2097152 out-of-mem.; needed X=   4.003 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)
      4194304 out-of-mem.; needed X=   8.005 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)

#----------------------------------------------------------------
# Benchmarking Alltoallv 
# #processes = 2048 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000        52.60        53.31        52.95
            1            9     26380.78     26384.91     26382.73
            2            9     13944.04     13950.27     13947.53
            4            9     12206.18     12210.40     12208.58
            8            9     11847.23     11851.60     11849.28
           16            9     11774.14     11800.53     11775.88
           32            9     11009.88     11013.91     11011.90
           64            9     12260.36     12266.77     12263.59
          128            9     27207.69     27214.95     27211.73
          256            9     55910.69     55919.30     55915.32
          512            9     87151.95     87161.54     87156.89
         1024            9    114012.32    114034.57    114016.42
         2048            9    170399.59    170423.83    170404.35
         4096            9    307142.02    307158.66    307151.46
         8192            9    587700.21    587727.39    587711.81
        16384            9   1009124.23   1009167.14   1009143.66
        32768            5   1728407.76   1728447.53   1728429.24
        65536            3   3201897.14   3201953.57   3201924.69
       131072            2   6405422.81   6405473.35   6405450.41
       262144            1  12827851.53  12827906.37  12827881.91
       524288 out-of-mem.; needed X=   2.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)
      1048576 out-of-mem.; needed X=   4.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)
      2097152 out-of-mem.; needed X=   8.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)
      4194304 out-of-mem.; needed X=  16.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)


# All processes entering MPI_Finalize

Application 1085235 resources: utime ~1022148s, stime ~210535s, Rss ~1111548, inblocks ~0, outblocks ~0
