       131072          148     63176.27     67613.52     65196.73
       262144            9    106577.37    115063.96    110780.23
       524288            5    199338.39    213635.49    206117.30
      1048576            3    377964.02    411665.60    395885.70
      2097152            2    758566.14    809165.72    784442.81
      4194304 out-of-mem.; needed X=   2.005 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)

#----------------------------------------------------------------
# Benchmarking Alltoallv 
# #processes = 512 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000        20.92        21.30        21.08
            1           11      4645.85      4649.44      4647.13
            2           11      2968.61      2971.19      2969.82
            4           11      2006.34      2008.63      2007.61
            8           11      1617.13      1619.53      1618.29
           16           11      1446.85      1449.35      1448.15
           32           11      1228.74      1232.00      1230.34
           64           11      1231.97      1234.16      1233.23
          128           11      3232.31      3235.45      3233.42
          256           11     10059.36     10062.76     10061.02
          512           11     17347.44     17351.35     17349.18
         1024           11     25230.39     25235.33     25232.89
         2048           11     34505.63     34509.53     34507.59
         4096           11     61885.81     61890.93     61888.35
         8192           11     93087.00     93091.55     93089.38
        16384           11    158702.85    158706.95    158705.09
        32768           11    288275.46    288281.05    288278.12
        65536           11    577646.71    577653.86    577650.86
       131072            8   1166296.27   1166310.37   1166304.16
       262144            4   2351251.78   2351267.99   2351259.82
       524288            2   4727435.23   4727460.98   4727447.91
      1048576            1   9480573.65   9480598.93   9480584.74
      2097152 out-of-mem.; needed X=   2.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)
      4194304 out-of-mem.; needed X=   4.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)


# All processes entering MPI_Finalize

Application 1085013 resources: utime ~225714s, stime ~54160s, Rss ~1126396, inblocks ~0, outblocks ~0
